Time,Temp,6011 nw-2-1B,6010 nw-2-11,6009 nw-2-0F,6008 nw-2-0E,6007 nw-2-0D,6006 nw-2-09,6005 nw-2-08,6004 nw-2-07,6003 nw-2-05,6002 nw-2-02,6001 nw-2-01,f-6011 nw-2-1B,f-6010 nw-2-11,f-6009 nw-2-0F,f-6008 nw-2-0E,f-6007 nw-2-0D,f-6006 nw-2-09,f-6005 nw-2-08,f-6004 nw-2-07,f-6003 nw-2-05,f-6002 nw-2-02,f-6001 nw-2-01
165,25.5864,0,0,0,3,0,3,1,0,3,3,0,0.94037,1.28426,0,1.6817,0,4.05924,1.76288,0.90281,1.86178,3.43798,2.83623
166,25.5498,3,1,3,2,0,0,2,3,0,4,1,0,0,0,3.8568,0,1.90039,1.99375,0,1.24852,3.12778,0
167,22.9814,1,2,0,1,0,3,1,2,1,7,3,3.29383,1.11154,2.88234,2.10633,0,0,0.66207,3.17172,0,3.4877,1.45321
168,22.7483,0,0,0,1,0,1,0,0,2,7,1,1.01468,1.86326,0,0.23676,0,3.31649,0.92549,1.54116,1.08413,9.03665,2.1311
169,22.761,0,3,0,1,3,1,3,0,1,1,1,0,0,0,1.14943,0,1.59675,0,0,2.86084,7.12032,1.17658
170,22.8072,2,2,0,1,1,2,2,0,3,3,0,0,1.48338,0,1.38155,1.29339,0.50707,1.70406,0,1.28095,2.05536,0.81143
171,22.8789,0,0,0,0,1,4,0,0,0,1,0,1.66714,1.8376,0,0.07081,0.7337,1.93802,1.6423,0,2.00624,2.36822,0
172,22.9328,0,2,0,0,0,2,2,0,0,4,3,0,0,0,0,0.982,4.39687,0,0,0,1.77056,0
173,23.0069,0,1,0,2,1,1,4,0,2,3,0,0,0.79212,0,0,0,1.39446,1.4524,0,0,3.34672,1.42092
174,23.0909,1,2,0,0,1,2,1,0,1,3,0,0,1.44185,0,1.79356,1.15495,1.78946,3.36634,0,2.45208,3.24599,0
175,23.1754,0,3,1,0,2,2,2,1,1,5,2,0.44899,1.82481,0,0,0.11893,0.49845,1.7647,0,1.80905,3.2555,0
176,23.2776,2,2,0,2,0,5,2,0,0,5,0,0,1.12764,0.54861,0,1.18842,1.74778,1.67883,0.72888,0.19846,4.58644,1.13796
177,23.3763,0,0,0,0,0,4,0,0,0,3,0,1.09421,1.47634,0,1.43674,0,6.71278,1.52144,0,0,6.7254,0
178,23.4678,1,1,0,0,1,3,2,0,1,3,3,0,0,0,0,0,3.37149,0,0,0,3.05304,0
179,23.5333,1,0,0,1,1,6,2,1,0,4,1,0.19143,0.15249,0,0,0.25419,4.79367,1.48377,0,0.27873,2.88796,3.02076
